0,1,2,3,4,5,6,7,8,9,10,11,12
롸카두들내쉬빌핫치킨,서울시 강남구 신사동 646-8,02-3447-3456,브런치 / 버거 / 샌드위치,더클래식,7700.0,"더클래식:7,700원//그랜파:7,900원//수프림씨:8,900원//오리지날 갱스타:6,900원//후라이드치킨 (2조각):5,500원/",11:30 - 21:30,4.7,51.0,,https://mp-seoul-image-production-s3.mangoplate.com/400192/1272653_1570588239901_12322,1.0
마띠아바자르,서울시 마포구 도화동 184-10 B1,02-702-0013,칵테일 / 와인,,,,18:00 - 02:00,4.4,7.0,,https://mp-seoul-image-production-s3.mangoplate.com/399290/439642_1597548133594_6110,2.0
비전스트롤,서울시 마포구 망원동 422-32,02-326-1002,카페 / 디저트,,,,,4.4,48.0,,https://mp-seoul-image-production-s3.mangoplate.com/1105479_1596164462459216.jpg,3.0
오늘의 위로,서울시 마포구 망원동 467-18,02-322-5203,카페 / 디저트,,,,13:00 - 19:00,4.4,42.0,,https://mp-seoul-image-production-s3.mangoplate.com/21015_1496393429425221.jpg,4.0
아메노히커피점,서울시 마포구 동교동 184-12,070-4202-5347,카페 / 디저트,블렌드 커피,5000.0,"블렌드 커피:5,000원//커피플로트:6,500원//호지차:5,000원//푸딩:4,000원//맛차 갸또 쇼콜라:6,000원/",월-금: 15:00 - 22:00 토-일: 13:00 - 22:00,4.3,138.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/104601_1490349745059944.jpg,5.0
비로소커피,서울시 마포구 신수동 85-19,02-712-9030,카페 / 디저트,,,,10:00 - 22:00,4.2,62.0,,https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/565213_1466144085926374.jpg,6.0
조용한저녁,서울시 마포구 창전동 2-31,010-8454-4540,패밀리 레스토랑,,,,화-금: 17:00 - 24:00 토: 13:00 - 22:00,4.3,30.0,,https://mp-seoul-image-production-s3.mangoplate.com/222823/180342_1511860963005_103067,7.0
원스타 올드패션드 햄버거,서울시 강남구 도곡동 424-11,02-578-4377,브런치 / 버거 / 샌드위치,,,,11:30 - 21:00,4.4,44.0,,https://mp-seoul-image-production-s3.mangoplate.com/343656/1183128_1600160136687_91149,8.0
담택,서울시 마포구 서교동 381-22 1F,02-336-0974,라멘 / 소바 / 우동,,,,11:30 - 유동적,4.3,34.0,,https://mp-seoul-image-production-s3.mangoplate.com/378200/887649_1598748779268_50861,9.0
폼프리츠,서울시 성동구 행당동 16-53,010-5141-8400,브런치 / 버거 / 샌드위치,,,,17:00 - 03:00,3.8,18.0,,https://mp-seoul-image-production-s3.mangoplate.com/49083/372e20f5e3ff.jpg,10.0
커피식탁,서울시 성동구 성수동1가 656-1096,02-499-9029,카페 / 디저트,에스프레소,2500.0,"에스프레소:2,500원//아메리카노:3,000원//카페라떼:3,500원//당근이지:5,000원//무뚝뚝얼그레이씨:5,000원/",월-금: 08:00 - 20:00 토: 12:00 - 18:00,3.9,32.0,,https://mp-seoul-image-production-s3.mangoplate.com/463989_1582301175376697.jpg,11.0
카페 원오프,서울시 성북구 동선동2가 128 2F,070-8770-2033,카페 / 디저트,,,,화-금: 12:00 - 21:00 토-일: 12:00 - 19:00,3.8,8.0,,https://mp-seoul-image-production-s3.mangoplate.com/352574/1245155_1587562091341_206382,12.0
피알디,서울시 성북구 동선동4가 127 휴림 빌딩 1F,010-6720-1378,카페 / 디저트,,,,월-금: 11:00 - 22:00 토-일: 11:00 - 23:00,3.5,4.0,,https://mp-seoul-image-production-s3.mangoplate.com/777980_1598081942697494.jpg,13.0
송쉐프,서울시 강남구 신사동 507-11,02-546-1178,정통 중식 / 일반 중식,,,,11:30 - 21:30,4.4,132.0,,https://mp-seoul-image-production-s3.mangoplate.com/331694/501143_1502736790687_14651,14.0
Tea and Proof,서울시 강남구 도곡동 454,"
칵테일 / 와인
",,,,,,4.4,8.0,,https://mp-seoul-image-production-s3.mangoplate.com/1601255_1599052542136378.jpg,15.0
